topicId,rank,docId,filename
4,11,1,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460388-brock.txt
4,12,3,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460420-clark.txt
4,13,15,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460589-hunt.txt
4,14,21,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7461032-riggs.txt
4,15,20,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7461017-reeves.txt
4,16,19,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7461009-ray_thomas.txt
4,17,5,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460427-connally_2.txt
4,18,9,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460440-craig.txt
4,19,11,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460448-crull.txt
4,20,13,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460458-davis_mrs.txt
4,21,8,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460436-couch.txt
5,1,21,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7461032-riggs.txt
5,2,8,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460436-couch.txt
5,3,13,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460458-davis_mrs.txt
5,4,19,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7461009-ray_thomas.txt
5,5,9,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460440-craig.txt
5,6,20,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7461017-reeves.txt
5,7,2,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460406-carrico.txt
5,8,14,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460571-hill.txt
5,9,15,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460589-hunt.txt
5,10,3,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460420-clark.txt
5,11,10,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460447-croy.txt
5,12,4,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460426-connally_1.txt
5,13,18,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7461007-ray_frank.txt
5,14,12,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460456-davis_barbara.txt
5,15,7,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460429-connally_4.txt
5,16,11,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460448-crull.txt
5,17,6,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460428-connally_3.txt
5,18,16,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460609-johnson.txt
5,19,17,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460610-johnson_mrs.txt
5,20,5,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460427-connally_2.txt
5,21,1,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460388-brock.txt
6,1,4,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460426-connally_1.txt
6,2,12,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460456-davis_barbara.txt
6,3,14,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460571-hill.txt
6,4,7,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460429-connally_4.txt
6,5,9,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460440-craig.txt
6,6,18,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7461007-ray_frank.txt
6,7,21,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7461032-riggs.txt
6,8,13,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460458-davis_mrs.txt
6,9,10,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460447-croy.txt
6,10,8,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460436-couch.txt
6,11,2,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460406-carrico.txt
6,12,1,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460388-brock.txt
6,13,16,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460609-johnson.txt
6,14,6,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460428-connally_3.txt
6,15,19,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7461009-ray_thomas.txt
6,16,11,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460448-crull.txt
6,17,5,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460427-connally_2.txt
6,18,17,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460610-johnson_mrs.txt
6,19,20,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7461017-reeves.txt
6,20,15,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460589-hunt.txt
6,21,3,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7460420-clark.txt
7,1,20,/Users/justinlittman/Data/HIST3001Spring17-Topic-Modeling/./data-cleaned/7461017-reeves.txt
